Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Benue,Obi,NGA,NG007014,NG00,January,2017,0,0
Nigeria,Gombe,Dukku,NGA,NG016004,NG01,January,2017,0,0
Nigeria,Rivers,Khana,NGA,NG033014,NG03,January,2017,0,0
Nigeria,Delta,Aniocha South,NGA,NG010002,NG01,January,2017,0,0
Nigeria,Anambra,Ayamelum,NGA,NG004007,NG00,January,2017,0,0
Nigeria,Borno,Jere,NGA,NG008013,NG00,January,2017,0,0
Nigeria,Kaduna,Jaba,NGA,NG019006,NG01,January,2017,0,0
Nigeria,Kwara,Ekiti,NGA,NG024004,NG02,January,2017,0,0
Nigeria,Kebbi,Arewa,NGA,NG022002,NG02,January,2017,0,0
Nigeria,Kwara,Osin,NGA,NG024010,NG02,January,2017,0,0
Nigeria,Benue,Buruku,NGA,NG007004,NG00,January,2017,0,0
Nigeria,Zamfara,Kiyawa,NGA,NG037003,NG03,January,2017,0,0
Nigeria,Edo,Oredo,NGA,NG012012,NG01,January,2017,0,0
Nigeria,Kano,Bichi,NGA,NG020005,NG02,January,2017,0,0
Nigeria,Benue,Gwer West,NGA,NG007008,NG00,January,2017,0,0
Nigeria,Kaduna,Kaura,NGA,NG019013,NG01,January,2017,2,3
Nigeria,Kano,Sumaila,NGA,NG020036,NG02,January,2017,0,0
Nigeria,Ekiti,Emure,NGA,NG013007,NG01,January,2017,0,0
Nigeria,Delta,Isoko South,NGA,NG010010,NG01,January,2017,0,0
Nigeria,Akwa Ibom,Mbo,NGA,NG003017,NG00,January,2017,0,0
Nigeria,Osun,Boripe,NGA,NG030006,NG03,January,2017,0,0
Nigeria,Delta,Bomadi,NGA,NG010003,NG01,January,2017,0,0
Nigeria,Imo,Ohaji,NGA,NG017018,NG01,January,2017,0,0
Nigeria,Bauchi,Katagum,NGA,NG005012,NG00,January,2017,0,0
Nigeria,Oyo,Ido,NGA,NG031014,NG03,January,2017,0,0
Nigeria,Kwara,Oyun,NGA,NG024015,NG02,January,2017,0,0
Nigeria,Imo,Ideato North,NGA,NG017005,NG01,January,2017,0,0
Nigeria,Kebbi,Sakaba,NGA,NG022016,NG02,January,2017,0,0
Nigeria,Anambra,Awka North,NGA,NG004005,NG00,January,2017,0,0
Nigeria,Anambra,Aguata,NGA,NG004001,NG00,January,2017,0,0
Nigeria,Benue,Ukum,NGA,NG007021,NG00,January,2017,0,0
Nigeria,Delta,Oshimili North,NGA,NG010014,NG01,January,2017,0,0
Nigeria,Sokoto,Tureta,NGA,NG034020,NG03,January,2017,0,0
Nigeria,Rivers,Ogu,NGA,NG033017,NG03,January,2017,0,0
Nigeria,Taraba,Donga,NGA,NG035003,NG03,January,2017,0,0
Nigeria,Kano,Gabasawa,NGA,NG020013,NG02,January,2017,0,0
Nigeria,Ogun,Ifo,NGA,NG028007,NG02,January,2017,0,0
Nigeria,Edo,Etsako West,NGA,NG012009,NG01,January,2017,0,0
Nigeria,Anambra,Oyi,NGA,NG004021,NG00,January,2017,0,0
Nigeria,Kano,Tarauni,NGA,NG020038,NG02,January,2017,0,0
Nigeria,Kano,Karaye,NGA,NG020022,NG02,January,2017,0,0
Nigeria,Bauchi,Gamawa,NGA,NG005007,NG00,January,2017,0,0
Nigeria,Osun,Osogbo,NGA,NG030030,NG03,January,2017,1,2
Nigeria,Ebonyi,Izzi,NGA,NG011010,NG01,January,2017,0,0
Nigeria,Katsina,Batsari,NGA,NG021003,NG02,January,2017,0,0
Nigeria,Katsina,Musawa,NGA,NG021029,NG02,January,2017,0,0
Nigeria,Abia,Ukwa East,NGA,NG001013,NG00,January,2017,0,0
Nigeria,Adamawa,Ganye,NGA,NG002003,NG00,January,2017,0,0
Nigeria,Kano,Minjibir,NGA,NG020030,NG02,January,2017,0,0
Nigeria,Niger,Wushishi,NGA,NG027025,NG02,January,2017,0,0
Nigeria,Ogun,Ijebu Ode,NGA,NG028010,NG02,January,2017,0,0
Nigeria,Oyo,Ibadan South West,NGA,NG031010,NG03,January,2017,0,0
Nigeria,Adamawa,Toungo,NGA,NG002019,NG00,January,2017,1,5
Nigeria,Edo,Egor,NGA,NG012002,NG01,January,2017,0,0
Nigeria,Cross River,Yakurr,NGA,NG009018,NG00,January,2017,0,0
Nigeria,Lagos,Amowo-Odofin,NGA,NG025004,NG02,January,2017,0,0
Nigeria,Enugu,Nkanu West,NGA,NG014012,NG01,January,2017,0,0
Nigeria,Kogi,Kogi,NGA,NG023011,NG02,January,2017,0,0
Nigeria,Bauchi,Kirfi,NGA,NG005013,NG00,January,2017,0,0
Nigeria,Sokoto,Sokoto North,NGA,NG034016,NG03,January,2017,0,0
Nigeria,Bauchi,Tafawa Balewa,NGA,NG005017,NG00,January,2017,0,0
Nigeria,Anambra,Orumba North,NGA,NG004019,NG00,January,2017,0,0
Nigeria,Kwara,Edu,NGA,NG024003,NG02,January,2017,0,0
Nigeria,Imo,Nkwerre,NGA,NG017014,NG01,January,2017,0,0
Nigeria,Abia,Ohafia,NGA,NG001010,NG00,January,2017,0,0
Nigeria,Yobe,Damaturu,NGA,NG036003,NG03,January,2017,0,0
Nigeria,Jigawa,Buji,NGA,NG018005,NG01,January,2017,0,0
Nigeria,Yobe,Nguru,NGA,NG036013,NG03,January,2017,0,0
Nigeria,Niger,Kontagora,NGA,NG027011,NG02,January,2017,0,0
Nigeria,Jigawa,Kiri-Kasamma,NGA,NG018018,NG01,January,2017,0,0
